# Running on nid01410
# DAINT config selected
# There are 2 sockets, 2 NUMA domains, 36 cores, 72 pus
# NB. to kill spawned tasks try 
# for a in {1..100}; do psu -lf | grep future_overhead_test | awk '{print $4}' | xargs kill -9 ; done

# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,     Sliding-Sem, thread_pool_executor, 0.543588, 1.087175,                local,    0,    1,                 none
500000,                    for_loop,             par,  parallel_executor, 0.880161, 1.760322,                local,    0,    1,                 none
500000,                    for_loop,             par, parallel_executor_aggregated, 0.794330, 1.588661,                local,    0,    1,                 none
500000,                    for_loop,             par, thread_pool_executor, 0.764834, 1.529667,                local,    0,    1,                 none
500000,                    for_loop,             par, thread_pool_executor_nostack, 0.552967, 1.105935,                local,    0,    1,                 none
500000,               register_work,           latch,               none, 0.562857, 1.125714,                local,    0,    1,                 none
500000,               create_thread,           latch,               none, 0.558686, 1.117371,                local,    0,    1,                 none
500000,          apply_hierarchical,           latch,  parallel_executor, 0.562024, 1.124048,                local,    0,    1,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=local-priority-fifo --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.477763, 0.955526,  local-priority-fifo,    1,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.481409, 0.962817,  local-priority-fifo,    1,    1,                 none
500000,                       apply,   limiting-Exec, thread_pool_executor, 0.469840, 0.939681,  local-priority-fifo,    1,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.703495, 1.406990,  local-priority-fifo,    1,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.619946, 1.239891,  local-priority-fifo,    1,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.620679, 1.241358,  local-priority-fifo,    1,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.617714, 1.235428,  local-priority-fifo,    1,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.574378, 1.148756,  local-priority-fifo,    1,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.570285, 1.140570,  local-priority-fifo,    1,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.475472, 0.950943,  local-priority-fifo,    1,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.465364, 0.930728,  local-priority-fifo,    1,    1,                 none
500000,                       apply,     Sliding-Sem,  parallel_executor, 0.549957, 1.099915,  local-priority-fifo,    1,    1,                 none
500000,                       apply,     Sliding-Sem, thread_pool_executor, 0.546100, 1.092200,  local-priority-fifo,    1,    1,                 none
500000,                    for_loop,             par,  parallel_executor, 0.874836, 1.749672,  local-priority-fifo,    1,    1,                 none
500000,                    for_loop,             par, parallel_executor_aggregated, 0.760850, 1.521700,  local-priority-fifo,    1,    1,                 none
500000,                    for_loop,             par, thread_pool_executor, 0.729558, 1.459115,  local-priority-fifo,    1,    1,                 none
500000,                    for_loop,             par, thread_pool_executor_nostack, 0.561233, 1.122466,  local-priority-fifo,    1,    1,                 none
500000,               register_work,           latch,               none, 0.557078, 1.114156,  local-priority-fifo,    1,    1,                 none
500000,               create_thread,           latch,               none, 0.555241, 1.110481,  local-priority-fifo,    1,    1,                 none
500000,          apply_hierarchical,           latch,  parallel_executor, 0.555004, 1.110008,  local-priority-fifo,    1,    1,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=local-priority-fifo   --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.482012, 0.964023,  local-priority-fifo,    0,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.486093, 0.972186,  local-priority-fifo,    0,    1,                 none
500000,                       apply,   limiting-Exec, thread_pool_executor, 0.475682, 0.951364,  local-priority-fifo,    0,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.711226, 1.422452,  local-priority-fifo,    0,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.626275, 1.252551,  local-priority-fifo,    0,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.628081, 1.256163,  local-priority-fifo,    0,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.625466, 1.250933,  local-priority-fifo,    0,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.582267, 1.164535,  local-priority-fifo,    0,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.576890, 1.153781,  local-priority-fifo,    0,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.480229, 0.960458,  local-priority-fifo,    0,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.470430, 0.940860,  local-priority-fifo,    0,    1,                 none
500000,                       apply,     Sliding-Sem,  parallel_executor, 0.556023, 1.112047,  local-priority-fifo,    0,    1,                 none
500000,                       apply,     Sliding-Sem, thread_pool_executor, 0.552029, 1.104058,  local-priority-fifo,    0,    1,                 none
500000,                    for_loop,             par,  parallel_executor, 0.891351, 1.782702,  local-priority-fifo,    0,    1,                 none
500000,                    for_loop,             par, parallel_executor_aggregated, 0.792251, 1.584503,  local-priority-fifo,    0,    1,                 none
500000,                    for_loop,             par, thread_pool_executor, 0.776952, 1.553903,  local-priority-fifo,    0,    1,                 none
500000,                    for_loop,             par, thread_pool_executor_nostack, 0.555445, 1.110891,  local-priority-fifo,    0,    1,                 none
500000,               register_work,           latch,               none, 0.572827, 1.145654,  local-priority-fifo,    0,    1,                 none
500000,               create_thread,           latch,               none, 0.566272, 1.132543,  local-priority-fifo,    0,    1,                 none
500000,          apply_hierarchical,           latch,  parallel_executor, 0.568766, 1.137531,  local-priority-fifo,    0,    1,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=local-priority-lifo --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.484089, 0.968179,  local-priority-lifo,    1,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.496016, 0.992032,  local-priority-lifo,    1,    1,                 none
